UiD,num_pot,genotype,soil,treatment,tray,experiment,municipalities,region,north_lat_y,west_lon_x,Country,rdw_mg
1,1,CVSt,Tarrafal,50%FC,2,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,286.6
2,2,CVSt,Tarrafal,50%FC,11,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,376.6
3,3,CVSt,Tarrafal,50%FC,1,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,605.4
4,10,Matuba,Tarrafal,50%FC,2,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,209.1
5,11,Matuba,Tarrafal,50%FC,6,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,323.5
6,12,Matuba,Tarrafal,50%FC,8,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,325.4
7,49,Zm523,Tarrafal,50%FC,9,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,351.6
8,50,Zm523,Tarrafal,50%FC,8,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,196.1
9,51,Zm523,Tarrafal,50%FC,13,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,333.1
10,58,B73,Tarrafal,50%FC,10,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,221.6
11,59,B73,Tarrafal,50%FC,5,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,225.5
12,60,B73,Tarrafal,50%FC,13,1,Tarrafal,Colonato,15.254874,-23.744146,Cabo Verde,256.3
16,16,CVSt,Sao Domingos,50%FC,10,1,Sao Domingos,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,192.5
17,17,CVSt,Sao Domingos,50%FC,3,1,Sao Domingos,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,351.5
18,18,CVSt,Sao Domingos,50%FC,6,1,Sao Domingos,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,181.9
19,25,Matuba,Sao Domingos,50%FC,8,1,Sao Domingos,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,264.9
20,26,Matuba,Sao Domingos,50%FC,5,1,Sao Domingos,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,304.1
21,27,Matuba,Sao Domingos,50%FC,12,1,Sao Domingos,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,225.8
