Pot,Genotype,Treatment,Nutrient,NumLeaf,Experiment,Box,leaf_lenght_cm
1,B73,No Bacteria,Full Hoagland,L1,1,1,4.682
1,B73,No Bacteria,Full Hoagland,L2,1,1,13.04
1,B73,No Bacteria,Full Hoagland,L3,1,1,30.561
1,B73,No Bacteria,Full Hoagland,L4,1,1,40.877
1,B73,No Bacteria,Full Hoagland,L5,1,1,20.697
1,B73,No Bacteria,Full Hoagland,L6,1,1,NA
2,B73,No Bacteria,Full Hoagland,L1,1,1,3.508
2,B73,No Bacteria,Full Hoagland,L2,1,1,11.276
2,B73,No Bacteria,Full Hoagland,L3,1,1,25.149
2,B73,No Bacteria,Full Hoagland,L4,1,1,30.987
2,B73,No Bacteria,Full Hoagland,L5,1,1,15.011
3,B73,No Bacteria,Full Hoagland,L1,1,1,2.333
3,B73,No Bacteria,Full Hoagland,L2,1,1,11.288
3,B73,No Bacteria,Full Hoagland,L3,1,1,25.554
3,B73,No Bacteria,Full Hoagland,L4,1,1,31.591
3,B73,No Bacteria,Full Hoagland,L5,1,1,15.937
4,B73,No Bacteria,Full Hoagland,L1,1,1,4.208
4,B73,No Bacteria,Full Hoagland,L2,1,1,12.088
4,B73,No Bacteria,Full Hoagland,L3,1,1,29.008
4,B73,No Bacteria,Full Hoagland,L4,1,1,36.833
4,B73,No Bacteria,Full Hoagland,L5,1,1,21.831
4,B73,No Bacteria,Full Hoagland,L6,1,1,NA
5,B73,No Bacteria,Full Hoagland,L1,1,1,3.538
5,B73,No Bacteria,Full Hoagland,L2,1,1,8.708
5,B73,No Bacteria,Full Hoagland,L3,1,1,20.78
5,B73,No Bacteria,Full Hoagland,L4,1,1,28.823
5,B73,No Bacteria,Full Hoagland,L5,1,1,14.732
6,B73,No Bacteria,Full Hoagland,L1,1,1,3.793
6,B73,No Bacteria,Full Hoagland,L2,1,1,10.651
6,B73,No Bacteria,Full Hoagland,L3,1,1,28.363
6,B73,No Bacteria,Full Hoagland,L4,1,1,36.097
6,B73,No Bacteria,Full Hoagland,L5,1,1,16.86
6,B73,No Bacteria,Full Hoagland,L6,1,1,NA
7,B73,Full syncom,Full Hoagland,L1,1,2,2.142
7,B73,Full syncom,Full Hoagland,L2,1,2,8.689
7,B73,Full syncom,Full Hoagland,L3,1,2,23.323
7,B73,Full syncom,Full Hoagland,L4,1,2,33.31
7,B73,Full syncom,Full Hoagland,L5,1,2,17.232
7,B73,Full syncom,Full Hoagland,L6,1,2,NA
8,B73,Full syncom,Full Hoagland,L1,1,2,1.703
8,B73,Full syncom,Full Hoagland,L2,1,2,7.541
8,B73,Full syncom,Full Hoagland,L3,1,2,13.643
8,B73,Full syncom,Full Hoagland,L4,1,2,26.185
8,B73,Full syncom,Full Hoagland,L5,1,2,14.761
9,B73,Full syncom,Full Hoagland,L1,1,2,3.656
9,B73,Full syncom,Full Hoagland,L2,1,2,13.37
9,B73,Full syncom,Full Hoagland,L3,1,2,26.69
9,B73,Full syncom,Full Hoagland,L4,1,2,36.083
9,B73,Full syncom,Full Hoagland,L5,1,2,21.352
