UiD,num_pot,genotype,soil,treatment,id,num_leaf,tray,experiment,region,north_LatY,west_LongX,country,dw_g,dw_mg
,17,CVSt,Sao Domingos,50%FC,17,L1,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0033,3.3
,17,CVSt,Sao Domingos,50%FC,17,L2,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0164,16.4
,17,CVSt,Sao Domingos,50%FC,17,L3,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0636,63.6
,17,CVSt,Sao Domingos,50%FC,17,L4,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1077,107.7
,17,CVSt,Sao Domingos,50%FC,17,L5,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0409,40.9
,17,CVSt,Sao Domingos,50%FC,17,L6,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0021,2.1
,17,CVSt,Sao Domingos,50%FC,17,Stem,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1889,188.9
,33,CVSt,Sutton Bonington,50%FC,33,L1,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0041,4.1
,33,CVSt,Sutton Bonington,50%FC,33,L2,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0161,16.1
,33,CVSt,Sutton Bonington,50%FC,33,L3,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0409,40.9
,33,CVSt,Sutton Bonington,50%FC,33,L4,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.075,75
,33,CVSt,Sutton Bonington,50%FC,33,L5,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0524,52.4
,33,CVSt,Sutton Bonington,50%FC,33,L6,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.0051,5.1
,33,CVSt,Sutton Bonington,50%FC,33,Stem,13,2,Sutton Bonington,52.833265,-1.24906,UK,0.1537,153.7
,,Zm523,Tarrafal,50%FC,R84,L1,9,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0109,10.9
,,Zm523,Tarrafal,50%FC,R84,L2,9,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0436,43.6
,,Zm523,Tarrafal,50%FC,R84,L3,9,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0962,96.2
,,Zm523,Tarrafal,50%FC,R84,L4,9,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0742,74.2
,,Zm523,Tarrafal,50%FC,R84,L5,9,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0201,20.1
,,Zm523,Tarrafal,50%FC,R84,Stem,9,2,Colonato,15.254874,-23.744146,Cabo Verde,0.1752,175.2
,,Zm523,Tarrafal,50%FC,R85,L1,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0154,15.4
,,Zm523,Tarrafal,50%FC,R85,L2,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0576,57.6
,,Zm523,Tarrafal,50%FC,R85,L3,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.1032,103.2
,,Zm523,Tarrafal,50%FC,R85,L4,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0666,66.6
,,Zm523,Tarrafal,50%FC,R85,L5,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0273,27.3
,,Zm523,Tarrafal,50%FC,R85,Stem,12,2,Colonato,15.254874,-23.744146,Cabo Verde,0.246,246
,,Zm523,Tarrafal,50%FC,R86,L1,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0102,10.2
,,Zm523,Tarrafal,50%FC,R86,L2,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0357,35.7
,,Zm523,Tarrafal,50%FC,R86,L3,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0819,81.9
,,Zm523,Tarrafal,50%FC,R86,L4,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0951,95.1
,,Zm523,Tarrafal,50%FC,R86,L5,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0535,53.5
,,Zm523,Tarrafal,50%FC,R86,Stem,10,2,Colonato,15.254874,-23.744146,Cabo Verde,0.267,267
,,Zm523,Tarrafal,50%FC,R87,L1,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.01,10
,,Zm523,Tarrafal,50%FC,R87,L2,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0369,36.9
,,Zm523,Tarrafal,50%FC,R87,L3,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0992,99.2
,,Zm523,Tarrafal,50%FC,R87,L4,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.1012,101.2
,,Zm523,Tarrafal,50%FC,R87,L5,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0553,55.3
,,Zm523,Tarrafal,50%FC,R87,L6,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0091,9.1
,,Zm523,Tarrafal,50%FC,R87,Stem,7,2,Colonato,15.254874,-23.744146,Cabo Verde,0.268,268
,,Zm523,Tarrafal,50%FC,R88,L1,6,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0097,9.7
,,Zm523,Tarrafal,50%FC,R88,L2,6,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0271,27.1
,,Zm523,Tarrafal,50%FC,R88,L3,6,2,Colonato,15.254874,-23.744146,Cabo Verde,0.0612,61.2
