UiD,num_pot,genotype,soil,treatment,id,num_leaf,tray,experiment,region,north_LatY,west_LongX,country,dw_g,dw_mg
809,R117,B73,Sutton Bonington,50%FC,R117,L1,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.0116,11.6
815,R117,B73,Sutton Bonington,50%FC,R117,Stem,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.257,257
792,R114,B73,Sutton Bonington,50%FC,R114,L5,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1127,112.7
790,R114,B73,Sutton Bonington,50%FC,R114,L3,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1089,108.9
769,R111,B73,Sao Domingos,50%FC,R111,L3,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0779,77.9
770,R111,B73,Sao Domingos,50%FC,R111,L4,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.139,139
793,R114,B73,Sutton Bonington,50%FC,R114,L6,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.0146,14.6
794,R114,B73,Sutton Bonington,50%FC,R114,Stem,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.3843,384.3
811,R117,B73,Sutton Bonington,50%FC,R117,L3,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.1032,103.2
812,R117,B73,Sutton Bonington,50%FC,R117,L4,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.1782,178.2
788,R114,B73,Sutton Bonington,50%FC,R114,L1,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.0117,11.7
813,R117,B73,Sutton Bonington,50%FC,R117,L5,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.1177,117.7
791,R114,B73,Sutton Bonington,50%FC,R114,L4,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1774,177.4
772,R111,B73,Sao Domingos,50%FC,R111,L6,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0065,6.5
814,R117,B73,Sutton Bonington,50%FC,R117,L6,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.0205,20.5
810,R117,B73,Sutton Bonington,50%FC,R117,L2,7,2,Sutton Bonington,52.833265,-1.24906,UK,0.0408,40.8
