UiD,sample_id,genotype,treatment,marker,SynCom,nutrient,experiment,box,NumLeaf,length_cm
1,1,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L1,3.001
2,1,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L2,10.876
3,1,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L3,18.027
4,1,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L4,20.18
5,1,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L5,6.693
7,2,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L1,2.616
8,2,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L2,10.154
9,2,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L3,28.754
10,2,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L4,29.395
11,2,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L5,12.042
13,3,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L1,4.892
14,3,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L2,12.283
15,3,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L3,16.736
16,3,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L4,23.199
17,3,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L5,20.054
19,4,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L1,3.966
20,4,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L2,13.588
21,4,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L3,23.291
22,4,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L4,29.067
23,4,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L5,14.551
25,5,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L1,1.585
26,5,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L2,12.478
27,5,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L3,24.522
28,5,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L4,24.092
29,5,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L5,13.587
31,6,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L1,3.173
32,6,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L2,11.832
33,6,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L3,20.798
34,6,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L4,24.548
35,6,B73,No Bacteria,None,NoBacteria,Full Hoagland,1,1,L5,15.732
37,7,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L1,1.632
38,7,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L2,11.441
39,7,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L3,18.627
40,7,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L4,27.049
41,7,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L5,13.754
43,8,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L1,3.508
44,8,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L2,15.293
45,8,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L3,26.701
46,8,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L4,31.691
47,8,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L5,19.836
49,9,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L1,2.983
50,9,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L2,17.125
51,9,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L3,31.924
52,9,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L4,36.102
53,9,B73,Full syncom,None,Fullsyncom,Full Hoagland,1,2,L5,18.259
