uid,num_pot,genotype,soil,treatment,id,num_leaf,tray,experiment,region,lat,long,country,leaf_lenght_cm,Genotype,Soil,Treatment,NumLeaf,Experiment,Tray,DADA2_Header,Depth,LDepth,Fractions
1,1,CVSt,Tarrafal,50%FC,1,L1,2,1,Colonato,15.254874,-23.744146,Cabo Verde,5.141,CVSt,Tarrafal,50FC,L1,Experiment1,Tray2,Plate4MaizeVR1A7,10053,9.215626376,Leaf
2,1,CVSt,Tarrafal,50%FC,1,L2,2,1,Colonato,15.254874,-23.744146,Cabo Verde,14.266,CVSt,Tarrafal,50FC,L2,Experiment1,Tray2,Plate4MaizeVR1H1,8331,9.027738776,Leaf
3,1,CVSt,Tarrafal,50%FC,1,L3,2,1,Colonato,15.254874,-23.744146,Cabo Verde,25.594,CVSt,Tarrafal,50FC,L3,Experiment1,Tray2,Plate1MaizeVR1A4,7419,8.911799556,Leaf
4,1,CVSt,Tarrafal,50%FC,1,L4,2,1,Colonato,15.254874,-23.744146,Cabo Verde,30.006,CVSt,Tarrafal,50FC,L4,Experiment1,Tray2,Plate2MaizeVR1H1,4717,8.458928283,Leaf
5,1,CVSt,Tarrafal,50%FC,1,L5,2,1,Colonato,15.254874,-23.744146,Cabo Verde,19.183,CVSt,Tarrafal,50FC,L5,Experiment1,Tray2,Plate2MaizeVR1G12,2782,7.930925372,Leaf
6,1,CVSt,Tarrafal,50%FC,1,L6,2,1,Colonato,15.254874,-23.744146,Cabo Verde,7.142,CVSt,Tarrafal,50FC,L6,Experiment1,Tray2,Plate2MaizeVR1F10,1707,7.442492723,Leaf
7,2,CVSt,Tarrafal,50%FC,2,L1,11,1,Colonato,15.254874,-23.744146,Cabo Verde,5.404,CVSt,Tarrafal,50FC,L1,Experiment1,Tray11,Plate4MaizeVR1G11,8102,8.999866224,Leaf
8,2,CVSt,Tarrafal,50%FC,2,L2,11,1,Colonato,15.254874,-23.744146,Cabo Verde,13.383,,,,,,,,,,
9,2,CVSt,Tarrafal,50%FC,2,L3,11,1,Colonato,15.254874,-23.744146,Cabo Verde,27.738,,,,,,,,,,
10,2,CVSt,Tarrafal,50%FC,2,L4,11,1,Colonato,15.254874,-23.744146,Cabo Verde,25.841,CVSt,Tarrafal,50FC,L4,Experiment1,Tray11,Plate1MaizeVR1D7,1008,6.915723449,Leaf
